PassengerId,Survived,Pclass,Sex,Age,Cabin,Hometown,Destination
1,0.0,3,male,22.0,C23 C25 C27,"Bridgerule, Devon, England","Qu'Appelle Valley, Saskatchewan, Canada"
2,1.0,1,female,38.0,C85,"New York, New York, US","New York, New York, US"
3,1.0,3,female,26.0,C23 C25 C27,"Jyväskylä, Finland",New York City
4,1.0,1,female,35.0,C123,"Scituate, Massachusetts, US","Scituate, Massachusetts, US"
5,0.0,3,male,35.0,C23 C25 C27,"Birmingham, West Midlands, England",New York City
6,0.0,3,male,28.0,C23 C25 C27,"Cork, Ireland",New York City
7,0.0,1,male,54.0,E46,"Dorchester, Massachusetts, US","Dorchester, Massachusetts, US"
8,0.0,3,male,2.0,C23 C25 C27,"Bjuv, Skåne, Sweden","Chicago, Illinois, US"
9,1.0,3,female,27.0,C23 C25 C27,"St. Charles, Illinois, US","St. Charles, Illinois, US"
10,1.0,2,female,14.0,C23 C25 C27,"Zahlé, Lebanon, Ottoman Empire","Cleveland, Ohio, US"
11,1.0,3,female,4.0,G6,"Motala, Östergötland, Sweden","San Francisco, US"
12,1.0,1,female,58.0,C103,"Youngstown, Ohio, US","Youngstown, Ohio, US"
13,0.0,3,male,20.0,C23 C25 C27,"St Austell, Cornwall, England",New York City
14,0.0,3,male,39.0,C23 C25 C27,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada"
15,0.0,3,female,14.0,C23 C25 C27,"Salmunds, Gotland, Sweden","Los Angeles, US"
16,1.0,2,female,55.0,C23 C25 C27,"Lucknow, British India, UK[note 3]","Rapid City, South Dakota, US"
17,0.0,3,male,2.0,C23 C25 C27,"Athlone, Westmeath, Ireland","Spokane, Washington, US"
18,1.0,2,male,28.0,C23 C25 C27,"Harrow, London, England","Chicago, Illinois, US"
19,0.0,3,female,31.0,C23 C25 C27,"Pittem, Belgium","Fremont, Ohio, US"
20,1.0,3,female,28.0,C23 C25 C27,"Tebnine, Lebanon","Michigan City, Indiana, US"
21,0.0,2,male,35.0,C23 C25 C27,"Liverpool, Merseyside, England, UK","Montreal, Quebec, Canada"
22,1.0,2,male,34.0,D56,"London, England, UK","Toronto, Ontario, Canada"
23,1.0,3,female,15.0,C23 C25 C27,"Massbrook, Mayo, Ireland","Chicago, Illinois, US"
24,1.0,1,male,28.0,A6,"New Britain, Connecticut, US","New Britain, Connecticut, US"
25,0.0,3,female,8.0,C23 C25 C27,"Bjuv, Skåne, Sweden","Chicago, Illinois, US"
26,1.0,3,female,38.0,C23 C25 C27,"Alseda, Småland, Sweden","Worcester, Massachusetts, US"
27,0.0,3,male,28.0,C23 C25 C27,"Hadath, Lebanon",New York City
28,0.0,1,male,19.0,C23 C25 C27,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada"
29,1.0,3,female,28.0,C23 C25 C27,"Limerick, Limerick, Ireland",New York City
30,0.0,3,male,28.0,C23 C25 C27,"Unknown, Bulgaria","Chicago, Illinois, US"
31,0.0,1,male,40.0,C23 C25 C27,"Mexico City, Mexico","Mexico City, Mexico"
32,1.0,1,female,28.0,B78,"New York, New York, US","New York, New York, US"
33,1.0,3,female,28.0,C23 C25 C27,"Killaloe, Clare, Ireland","Washington, DC, US"
34,0.0,2,male,66.0,C23 C25 C27,"Guernsey, Channel Islands","Edgewood, Rhode Island, US"
35,0.0,1,male,28.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
36,0.0,1,male,42.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
37,1.0,3,male,28.0,C23 C25 C27,"Tripoli, Lebanon","Philadelphia, Pennsylvania, US"
38,0.0,3,male,21.0,C23 C25 C27,"Penwithick, Cornwall, England",New York City
39,0.0,3,female,18.0,C23 C25 C27,"Zwevezele, Belgium","Fremont, Ohio, US"
40,1.0,3,female,14.0,C23 C25 C27,"El-Hakour, Lebanon","Jacksonville, Florida, US"
41,0.0,3,female,40.0,C23 C25 C27,"Göteborg, Västergötland, Sweden","Akeley, Minnesota, US"
42,0.0,2,female,27.0,C23 C25 C27,"Plymouth, Devon, England","Salt Lake City, Utah, US"
43,0.0,3,male,28.0,C23 C25 C27,"Vetren, Bulgaria","Madison, Wisconsin, US"
